name;addr;attend;denom
Bethany at Chester Road;Raymond, NH;2000;NONDENOM
Pilgrim Church;Paramus, NJ;2500;KPCA
Jacksonville Chapel;Lincoln Park, NJ;2000;NONDENOM
Calvary Chapel of Old Bridge;Old Bridge, NJ;4500;CAL
Cathedral International;Perth Amboy, NJ;3000;BAPT
Kingdom Church;Ewing, NJ;2500;UNK
Bethany Church;Wayne, NJ;2500;KPCA
Rutgers Community Christian Church;Somerset, NJ;2200;NONDENOM
Liquid Church;Morristown, NJ;2000;NONDENOM
Calvary Baptist Church;Morristown, NJ;1800;BAPT
Princeton Alliance Church;Plainsboro, NJ;1800;CMA
Faith Living Christian Center;Pennsauken, NJ;2300;NONDENOM
Abundant Life Family Worship Church;New Brunswick, NJ;2200;NONDENOM
Agape Family Worship Center;Rahway, NJ;2500;NONDENOM
Chodae Community Church;Norwood, NJ;2500;KPCA
Faith Fellowship Ministries World Outreach Center;Sayreville, NJ;10100;NONDENOM
Saint Matthew's Baptist Church;Williamstown, NJ;9000;UNK
Evangel Church;Scotch Plains, NJ;2117;AG
The Presbyterian Church of Toms River;Toms River, NJ;2500;PRES
Bethany Baptist Church;Lindenwold, NJ;6000;NONDENOM
Christ Church;Rockaway, NJ;5000;NONDENOM
Metropolitan Baptist Church;Newark, NJ;2500;BAPT
Gloucester County Community Church;Sewell, NJ;2500;NONDENOM
Hawthorne Gospel Church;Hawthorne, NJ;2200;NONDENOM
First Baptist Church of Lincoln Gardens;Somerset, NJ;6000;BAPT
Fellowship Alliance Chapel;Medford, NJ;2500;CMA
Legacy Church;Albuquerque, NM;10100;NONDENOM
CopperPointe Church;Albuquerque, NM;2000;NONDENOM
Destiny Center Church;Rio Rancho, NM;1800;NONDENOM
Faith Christian Family Church;Clovis, NM;2000;NONDENOM
Pinon Hills Community Church;Farmington, NM;2000;NONDENOM
Calvary Baptist Church;Las Cruces, NM;1800;SBC
Sagebrush Community Church;Albuquerque, NM;9000;NONDENOM
Calvary Chapel of Albuquerque;Albuquerque, NM;16830;CAL
Hoffmantown Church;Albuquerque, NM;1800;SBC
Casa del Rey;Alburquerque, NM;3100;AG
The Crossing A Christian Church;Las Vegas, NV;2577;CHRISTIAN
Living Stones Church;Reno, NV;2297;NONDENOM
Victory Missionary Baptist Church;Las Vegas, NV;2000;UNK
Grace Church;Reno, NV;2500;NONDENOM
Grace Community Church;Reno, NV;2800;NONDENOM
Shadow Hills Church;Las Vegas, NV;2547;SBC
Apex Church;Las Vegas, NV;3500;NONDENOM
Summit Christian Church;Sparks, NV;2467;CHRISTIAN
International Church of Las Vegas;Las Vegas, NV;5000;AG
Central Christian Church;Henderson, NV;21055;CHRISTIAN
Canyon Ridge Christian Church;Las Vegas, NV;6500;CHRISTIAN
Calvary Chapel Spring Valley;Las Vegas, NV;3000;CAL
The Church at South Las Vegas;Henderson, NV;3200;NONDENOM
LifePoint Church;Minden, NV;2000;NONDENOM
Full Gospel Tabernacle Church;Orchard Park, NY;2200;CHRISTIAN
Abyssinian Baptist Church;Harlem, NY;4000;NBC
Saint Paul Community Baptist;Brooklyn, NY;2000;NONDENOM
Elim International Fellowship;Brooklyn, NY;2000;UNK
El Centro Cristiano Adonai;Corona, NY;1900;UNK
Iglesia Pentecostal Macedonia;New York, NY;4550;PENT
Bethany Baptist Church;Brooklyn, NY;1800;SBC
The Wesleyan Church of Hamburg;Hamburg, NY;1900;WES
Thessalonia Baptist Church;Bronx, NY;2000;BAPT
Bridge Street AME;Brooklyn, NY;2500;AME
Times Square Church;New York, NY;8000;UNK
International Christian Center;Staten Island, NY;2450;AG
Eastern Hills Wesleyan Church;Williamsville, NY;2500;WES
Smithtown Gospel Tabernacle;Smithtown, NY;2700;NONDENOM
Metro International Church;Brooklyn, NY;2400;NONDENOM
Concord Baptist Church of Christ;Brooklyn, NY;2500;BAPT
Zion Dominion Global Ministries;Amherst, NY;2000;COGIC
The Father's House;Rochester, NY;3500;UNK
Northway Fellowship Church;Clifton Park, NY;2000;NONDENOM
Redeemer Presbyterian Church;New York City, NY;5200;PCA
Christian Faith Fellowship Family Church;Middletown, NY;2500;NONDENOM
Christ Tabernacle;Glendale, NY;4000;NONDENOM
Grace Fellowship Church;Latham, NY;3400;NONDENOM
Upper Room Christian World Center;Dix Hills, NY;2200;NONDENOM
Brooklyn Tabernacle;Brooklyn, NY;10000;UNK
The Riverside Church;New York, NY;2500;NONDENOM
Calvary Baptist Church;New York, NY;2000;BAPT
Highland Church;Jamaica, NY;3000;NONDENOM
Greater Centennial A.M.E. Zion Church;Mount Vernon, NY;2100;AME
Grace Community Church;Washingtonville, NY;2293;BGC
Love Fellowship Tabernacle;Brooklyn, NY;2000;NONDENOM
Abundant Life Christian Center;East Syracuse, NY;2000;PENT
Emmanuel Baptist Church;Brooklyn, NY;2200;ABC
The Chapel;Getzville, NY;4800;NONDENOM
Promise New York Church;Flushing, NY;3800;AG
Perfecting Faith Church;Freeport, NY;2000;UNK
Bethel Gospel Tabernacle;Jamaica, NY;2000;NONDENOM
Christian Cultural Center;Brooklyn, NY;13000;NONDENOM
Canaan Baptist Church of Christ;New York, NY;3000;BAPT
The Korean Presbyterian Church of Queens;Flushing, NY;3000;KPCA
Allen AME Church;Jamaica, NY;6150;AME
Grace Church;Middleburg Heights, OH;3600;UNK
Cleveland Baptist Church;Cleveland, OH;2010;SBC
Christ's Church At Mason;Mason, OH;2519;CHRISTIAN
Reynoldsburg United Methodist Church;Reynoldsburg, OH;2200;UMC
The Chapel;Akron, OH;7347;NONDENOM
Apex Community Church;Kettering, OH;2500;SBC
Mount Zion Baptist Church of Oakwood Village;Oakwood Village, OH;3000;BAPT
Akron Baptist Temple;Akron, OH;3000;NONDENOM
Jersey Baptist Church;Pataskala, OH;1900;SBC
Solid Rock Church;Monroe, OH;4000;NONDENOM
SouthBrook Christian Church;Miamisburg, OH;3100;CHRISTIAN
Faith Family Church;Canton, OH;3000;NONDENOM
First Church of God;Columbus, OH;4000;COG
Canton Baptist Temple;Canton, OH;1800;BAPT
World Harvest Church;Canal Winchester, OH;5000;NONDENOM
CedarCreek.tv;Perrysburg, OH;9155;NONDENOM
Vineyard Christian Fellowship;Beavercreek, OH;3000;VINE
Church of the Open Door;Elyria, OH;2500;NONDENOM
The Chapel;Sandusky, OH;2200;NONDENOM
Christ Emmanuel Christian Fellowship;Cincinnati, OH;2000;NONDENOM
Crossroads;Cincinnati, OH;16792;NONDENOM
Far Hills Community Church;Dayton, OH;2000;SBC
The House of the Lord;Akron, OH;3000;NONDENOM
Victory Christian Center;Lowellville, OH;2500;AG
Fairfield Christian Church;Lancaster, OH;2000;NONDENOM
Upper Arlington Lutheran Church;Columbus, OH;2200;LUTH
The Word Church;Cleveland, OH;7000;UNK
Shiloh Baptist Church;Dayton, OH;2500;BAPT
Cuyahoga Valley Community Church;Broadview Heights, OH;2000;UNK
Lima Community Church;Lima, OH;1888;NAZ
Cornerstone Church;Toledo, OH;4000;NONDENOM
Grace Church;Norton, OH;4000;UNK
Heritage Christian Church;Westerville, OH;2700;CHRISTIAN
RiverTree Christian Church;Massillon, OH;2600;CHRISTIAN
Parkside Church;Chagrin Falls, OH;4000;NONDENOM
Montgomery Community Church;Cincinnati, OH;2500;ABC
Lincoln Heights Missionary Baptist Church;Cincinnati, OH;3200;BAPT
Crossroads Community Church;Mansfield, OH;5500;NONDENOM
Columbus Christian Center Church;Columbus, OH;2500;NONDENOM
Olivet Institutional Baptist Church;Cleveland, OH;2000;UNK
NewPointe Community Church;Dover, OH;3200;METH
New Life Church;Gahanna, OH;1800;NONDENOM
Christian Life Center;Dayton, OH;2700;AG
Grace Brethren Church of Columbus;Westerville, OH;2500;BRETHREN
Christ Community Chapel;Hudson, OH;4500;NONDENOM
Cypress Wesleyan Church;Galloway, OH;3200;WES
Man's Authentic Nature;Loveland, OH;4000;VINE
Fairhaven Church;Centerville, OH;3500;CMA
First Christian Church;Springfield, OH;2074;CHRISTIAN
Vineyard Community Church;Cincinnati, OH;5829;VINE
Grove City Church of the Nazarene;Grove City, OH;3446;NAZ
Xenos Christian Fellowship;Columbus, OH;5000;NONDENOM
New Salem Baptist Church;Columbus, OH;2000;BAPT
Only Believe Ministries Christian Center;Botkins, OH;2000;NONDENOM
Vineyard Church of Columbus;Westerville, OH;7827;VINE
Ginghamsburg United Methodist Church;Tipp City, OH;4600;UMC
First Baptist Church;Oklahoma City, OK;2000;SBC
Edmond's First Baptist Church;Edmond, OK;2000;SBC
Crossroads Cathedral;Oklahoma City, OK;2500;AG
Boston Avenue United Methodist Church;Tulsa, OK;2004;UMC
Asbury United Methodist Church;Tulsa, OK;3274;UMC
Westmoore Community Church;Oklahoma City, OK;2000;EC
Faith Tabernacle;Oklahoma City, OK;2000;AG
People's Church;Oklahoma City, OK;6000;AG
Grace Church;Broken Arrow, OK;1800;NONDENOM
Victory Christian Center;Tulsa, OK;9500;UNK
LifeChurch.tv;Edmond, OK;30000;EC
Journey Church;Norman, OK;3300;EC
Cathedral of Praise;Oklahoma City, OK;1800;PENT
First Baptist Church;Broken Arrow, OK;2100;SBC
Church at Battle Creek;Broken Arrow, OK;2092;SBC
Rhema Bible Church;Tulsa, OK;5500;UNK
Broken Arrow Baptist Church;Tulsa, OK;2092;SBC
Crossings Community Church;Oklahoma City, OK;5500;NONDENOM
Guts Church;Tulsa, OK;4000;NONDENOM
Memorial Road Church of Christ;Edmond, OK;2600;COC
Church on the Move;Tulsa, OK;10000;NONDENOM
Destiny Church;Broken Arrow, OK;1800;NONDENOM
Victory Life Family Worship Center;Durant, OK;4000;UNK
Southwest Baptist Church;Oklahoma City, OK;2500;BAPT
Church of the Harvest;Oklahoma City, OK;2500;NONDENOM
Church of the Servant;Oklahoma City, OK;1992;UMC
Bethany First Church of the Nazarene;Bethany, OK;2361;NAZ
Council Road Baptist Church;Bethany, OK;2300;SBC
Henderson Hills Baptist Church;Edmond, OK;2500;SBC
First Baptist Church Altus;Altus, OK;2000;SBC
Victory Church;Oklahoma City, OK;8000;NONDENOM
Metropolitan Bible Church;Ottawa, ON;2500;NONDENOM
Prayer Palace Church;Toronto, ON;2500;NONDENOM
Agincourt Pentecostal Church;Toronto, ON;2200;PAC
The Meeting House;Oakville, ON;5007;BIC
Richmond Hill Chinese Community Church;Richmond Hill, ON;2800;EVAN
The Peoples Church;Toronto, ON;3800;NONDENOM
Bramalea Baptist Church;Bramalea, ON;1800;EVAN
North Park Community Church;London, ON;2200;NONDENOM
Morning Star Community Church;Salem, OR;2500;NONDENOM
Cedar Mill Bible Church;Portland, OR;1900;NONDENOM
City Bible Church;Portland, OR;3500;NONDENOM
Westside Church;Bend, OR;3500;4SQ
Sunset Presbyterian Church;Portland, OR;2300;PCA
Good Shepherd Community Church;Boring, OR;2300;NONDENOM
Beaverton Foursquare Church;Beaverton, OR;5600;4SQ
Salem First Church of the Nazarene;Salem, OR;2000;NAZ
Table Rock Fellowship;Central Point, OR;2000;NONDENOM
Rolling Hills Community Church;Tualatin, OR;2900;NONDENOM
Portland Christian Center;Portland, OR;2000;AG
Abundant Life Church;Damascus, OR;2426;CHRISTIAN
First Baptist Church Eugene;Eugene, OR;3000;CBA
Applegate Christian Fellowship;Jacksonville, OR;7000;CAL
Southlake Foursquare Church;West Linn, OR;2500;4SQ
Solid Rock Church;Portland, OR;6000;NONDENOM
Imago Dei Community;Portland, OR;2000;UNK
East Hill Foursquare Church;Gresham, OR;2800;4SQ
Salem Alliance Church;Salem, OR;2600;CMA
King Street Church;Chambersburg, PA;2000;UNK
The Worship Center;Lancaster, PA;2150;UNK
Victory Family Church;Cranberry Twp, PA;2000;UNK
Christ Community Church;Camp Hill, PA;2000;NONDENOM
Calvary Chapel of Philadelphia;Philadelphia, PA;10000;CAL
Christian Life Assembly;Camp Hill, PA;2900;AG
Bright Hope Baptist Church;Philadelphia, PA;2000;BAPT
Dove Christian Fellowship Church;Ephrata, PA;2000;UNK
Parker Hill Community Church;Scranton, PA;1950;NONDENOM
West Shore Evangelical Free Church;Mechanicsburg, PA;2500;EF
Calvary Church;Lancaster, PA;2500;NONDENOM
Pocono Community Church;Mount Pocono, PA;2000;AG
Enon Tabernacle Baptist Church;Philadelphia, PA;4150;BAPT
Pocono Community Church;Tobyhanna, PA;1855;AG
LCBC Lives Changed By Christ;Manheim, PA;13854;NONDENOM
Christian Life Center;Bensalem, PA;1900;AG
Covenant Church of Pittsburgh;Pittsburgh, PA;2000;NONDENOM
Glad Tidings Church;Reading, PA;2689;AG
The Bible Chapel;McMurray, PA;2500;UNK
Church of the Saviour;Wayne, PA;2000;UNK
Mount Ararat Baptist Church;Pittsburgh, PA;4800;BAPT
Deliverance Evangelistic Church;Philadelphia, PA;4000;EVAN
Sharon Baptist Church;Philadelphia, PA;5000;SBC
Allegheny Center Alliance Church;Pittsburgh, PA;2700;CMA
The Greater White Rock Baptist Church;Philadelphia, PA;3000;BAPT
Calvary Fellowship Church;Downingtown, PA;2000;NONDENOM
Worship Center;Lancaster, PA;2500;NONDENOM
Living Word Community Church;York, PA;2500;NONDENOM
Christian Stronghold Baptist Church;Philadelphia, PA;2500;BAPT
Calvary Church;Souderton, PA;2100;NONDENOM
Greater Shiloh Church;Easton, PA;2300;BAPT
Lifechurch;Allentown, PA;2000;NONDENOM
Evangelical Free Church of Hershey;Hummelstown, PA;2000;EF
North Way Christian Community;Wexford, PA;3000;UNK
Eglise Nouvelle Vie;Longueuil, PQ;3600;NONDENOM
Brushy Creek Baptist Church;Taylors, SC;2000;SBC
West End Baptist Church;Rock Hill, SC;2000;BAPT
Southside Fellowship;Greenville, SC;2000;NONDENOM
Lexington Baptist Church;Lexington, SC;1800;SBC
Brookwood Church;Simpsonville, SC;6103;SBC
Freedom Temple Ministries;Rockhill, SC;2200;NONDENOM
Northside Baptist Church;West Columbia, SC;2000;SBC
Faith Assembly of God;Summerville, SC;2305;AG
Redemption;Greenville, SC;10550;NONDENOM
Shandon Baptist Church;Columbia, SC;2500;SBC
First Baptist Church Simpsonville;Simpsonville, SC;2081;SBC
Rock Springs Baptist Church;Easley, SC;2500;SBC
Praise Cathedral Church of God;Greer, SC;2000;COG
Marathon Church;Greenville, SC;2500;BAPT
Church of the Holy Cross;Sullivan's Island, SC;1800;EPIS
Brookland Baptist Church;West Columbia, SC;8075;BAPT
Seacoast Church;Mount Pleasant, SC;12000;NONDENOM
First Baptist Church;Columbia, SC;3500;SBC
Taylors First Baptist Church;Taylors, SC;2300;SBC
Grace Church;Greenville, SC;4000;NONDENOM
First Baptist North Spartanburg;Spartanburg, SC;2600;SBC
NewSpring Church;Anderson, SC;23055;BAPT
First Baptist Church;Spartanburg, SC;3200;SBC
Riverbend Baptist Church;North Charleston, SC;3500;SBC
Barefoot Church;North Myrtle Beach, SC;2000;UNK
Bible Way Church of Atlas Road;Columbia, SC;7000;NONDENOM
East Cooper Baptist Church;Mount Pleasant, SC;2166;SBC
Cedar Creek Church;Aiken, SC;3000;NONDENOM
Word of God Church and Ministries;Columbia, SC;2200;NONDENOM
Grace Cathedral Ministries;Greenville, SC;2000;UNK
Transformation Church;Indian Land, SC;2500;NONDENOM
Cornerstone Community Church;Orangeburg, SC;2000;UNK
Cathedral of Praise;Charleston, SC;2700;NONDENOM
Morningstar Fellowship Church;Fort Mill, SC;2500;NONDENOM
Community Bible Church;Beaufort, SC;2000;NONDENOM
Celebrate Church;Sioux Falls, SD;3500;UNK
Fellowship Bible Church Nashville;Brentwood, TN;2400;NONDENOM
Grace Baptist Church;Knoxville, TN;2783;SBC
World Overcomers Outreach Ministries Church;Memphis, TN;3000;NONDENOM
New Direction Christian Church;Memphis, TN;10948;CHRISTIAN
Second Presbyterian Church;Memphis, TN;3600;PCA
New Vision Baptist Church;Murfreesboro, TN;2150;SBC
Grace Chapel;Franklin, TN;3500;CAL
Abba's House/Central Baptist;Hixson, TN;1750;SBC
Fellowship Bible Church;Jackson, TN;3750;UNK
Christ Presbyterian Church;Nashville, TN;2000;PCA
Grace Community Church;Clarksville, TN;2150;UNK
Brentwood United Methodist Church;Brentwood, TN;2484;UMC
Brentwood Baptist Church;Brentwood, TN;5637;SBC
Faith Baptist;Bartlett, TN;2500;SBC
First Baptist Concord;Knoxville, TN;2860;SBC
Sevier Heights Baptist Church;Knoxville, TN;3000;SBC
Fellowship Evangelical Free Church;Knoxville, TN;2600;EF
Life Church of Memphis;Cordova, TN;3000;NONDENOM
First Baptist Church;Hendersonville, TN;2653;SBC
First Baptist Church;Clarksville, TN;2500;SBC
Cornerstone Assembly of God;Madison, TN;4024;AG
The People's Church;Franklin, TN;2901;SBC
First Baptist Cleveland;Cleveland, TN;2400;SBC
Silverdale Baptist Church;Chattanooga, TN;3800;SBC
Faith Promise Church;Knoxville, TN;4300;NONDENOM
North Boulevard Church of Christ;Murfreesboro, TN;1800;COC
St. Stephen Baptist Church;Memphis, TN;2000;BAPT
Central Church;Collierville, TN;2500;NONDENOM
The Life Church;Memphis, TN;3400;NONDENOM
Dallas Bay Baptist Church;Hixson, TN;2500;SBC
Ethos Church;Nasvhille, TN;2800;NONDENOM
Germantown Baptist Church;Germantown, TN;2000;SBC
Christ Church;Nashville, TN;4500;NONDENOM
Bellevue Baptist Church;Cordova, TN;6806;SBC
New Creation Church;Shelbyville, TN;2500;NONDENOM
Bethel World Outreach Center;Brentwood, TN;3500;NONDENOM
Mount Vernon Baptist Church;Memphis, TN;3000;BAPT
First Baptist Church;Sevierville, TN;2200;SBC
Mount Zion Baptist Church;Nashville, TN;10000;BAPT
Englewood Baptist Church;Jackson, TN;2500;SBC
Hope Presbyterian Church;Cordova, TN;6978;EPC
Cokesbury United Methodist Church;Knoxville, TN;2806;UMC
Madison Church of Christ;Madison, TN;2150;COC
The Fellowship at Two Rivers;Nashville, TN;2000;BAPT
First Baptist Church;Millington, TN;2500;SBC
Forest Hills Baptist Church;Nashville, TN;2000;SBC
Collegedale Church;Collegedale, TN;2800;SDA
Cross Point Church;Nashville, TN;5027;NONDENOM
Belmont Church;Nashville, TN;2000;NONDENOM
Park West Church;Knoxville, TN;2000;COG
Woodmont Hills Church of Christ;Nashville, TN;1900;COC
World Outreach Church;Murfreesboro, TN;7926;NONDENOM
Ridgedale Baptist Church;Chattanooga, TN;2500;BAPT
Cummings Street Missionary Baptist;Memphis, TN;3000;BAPT
Long Hollow Baptist Church;Hendersonville, TN;7154;SBC
Grace Fellowship Church;Johnson City, TN;2000;NONDENOM
LifePoint Church;Smyrna, TN;3100;BAPT
Temple of Deliverance;Memphis, TN;10000;COGIC
Iglesia de Dios Hispana de Nashville;Nashville, TN;2000;PENT
New Salem Missionary Baptist Church;Memphis, TN;3100;MISSBAPT
Kirby Woods Baptist Church;Memphis, TN;1800;SBC
Golden Gate Cathedral;Memphis, TN;4500;NONDENOM
Brainerd Baptist Church;Chattanooga, TN;2000;BAPT
Central Baptist Bearden;Knoxville, TN;2000;SBC
Bayside Baptist Church;Harrison, TN;1300;SBC
Lake Providence Missionary Baptist Church;Nashville, TN;2200;MISSBAPT
Cedar Springs Presbyterian Church;Knoxville, TN;2700;EPC
Trinity Fellowship Church;Amarillo, TX;3500;NONDENOM
New Faith Church;Houston, TX;2500;SBC
Elevate Life Church;Frisco, TX;4000;NONDENOM
The Foundry United Methodist Church;Houston, TX;1800;UMC
High Pointe Baptist Church;Austin, TX;2219;SBC
Austin Christian Fellowship;Austin, TX;1800;NONDENOM
First United Methodist Church Richardson;Richardson, TX;2183;UMC
Bear Creek Baptist Church;Katy, TX;3098;SBC
Pilgrim Rest Missionary Baptist Church;Dallas, TX;2500;BAPT
DFW New Beginnings Church;Irving, TX;3000;NONDENOM
Summit Christian Center;San Antonio, TX;2834;NONDENOM
Fallbrook Church;Houston, TX;4000;UNK
Abundant Life Church of God;San Antonio, TX;2000;COG
First United Methodist Church;Mansfield, TX;2039;UMC
Bandera Road Community Church;San Antonio, TX;4950;NONDENOM
Antioch Fellowship Missionary Baptist Church;Dallas, TX;2000;MISSBAPT
The Oaks Fellowship;Red Oak, TX;2700;AG
Cornerstone Church;San Antonio, TX;17000;NONDENOM
Place for Life;San Antonio, TX;3000;NONDENOM
Brentwood Baptist Church;Houston, TX;3000;SBC
Stonebriar Community Church;Frisco, TX;4500;NONDENOM
Greater Mount Zion Baptist Church;Austin, TX;1800;BAPT
Shoreline Christian Center;Austin, TX;5000;NONDENOM
Christ Fellowship;McKinney, TX;2100;NONDENOM
Woodlands Church;The Woodlands, TX;18385;SBC
Christ Church Plano;Plano, TX;2500;ANGLICAN
Life Tabernacle;Houston, TX;3000;UNK
Grace Outreach Center;Plano, TX;4300;NONDENOM
Watermark Community Church;Dallas, TX;8876;NONDENOM
First Baptist Church McKinney;McKinney, TX;2301;SBC
The Hills Church of Christ;North Richland Hills, TX;4500;COC
Covenant Church;Carrollton, TX;11000;NONDENOM
New Light Christian Center Church;Houston, TX;13500;UNK
Gateway Church;Southlake, TX;28000;NONDENOM
Fielder Road Baptist Church;Arlington, TX;2001;SBC
Longview Baptist Temple;Longview, TX;2500;BAPT
Faithbridge Church;Spring, TX;2200;UMC
First Baptist Church Euless;Euless, TX;2435;SBC
Denton Bible Church;Denton, TX;5000;NONDENOM
Southwest Community Church;Houston, TX;3400;SBC
Columbus Avenue Baptist Church;Waco, TX;2500;SBC
Champion Forest Baptist Church;Houston, TX;8000;SBC
White's Chapel United Methodist Church;Southlake, TX;6149;UMC
First Baptist Church of Lubbock;Lubbock, TX;2000;SBC
Chapelwood United Methodist Church;Houston, TX;2253;UMC
The Austin Stone Community Church;Austin, TX;7428;SBC
First Baptist Church;Belton, TX;2000;SBC
Green Acres Baptist Church;Tyler, TX;4537;SBC
Community Bible Church;San Antonio, TX;14031;NONDENOM
Trinity Church;Cedar Hill, TX;2600;AG
Lake Arlington Baptist Church;Arlington, TX;2000;SBC
Cross Timbers Community Church;Argyle, TX;4600;NONDENOM
Wheeler Avenue Baptist Church;Houston, TX;6000;NBC
First Baptist Church;Dallas, TX;2632;SBC
Calvary Church;Irving, TX;4500;AG
Christian Chapel Temple of Faith;Dallas, TX;3500;CME
Lakewood Church;Houston, TX;43500;NONDENOM
Greater Saint Matthew Church;Houston, TX;3400;SBC
Kingsland Baptist Church;Katy, TX;2800;SBC
Sunnyvale First Baptist Church;Sunnyvale, TX;2400;SBC
Harvest Time Church;Houston, TX;2000;NONDENOM
First Baptist Church of Richardson;Richardson, TX;2400;SBC
Christian Tabernacle;Houston, TX;4000;UNK
Abundant Life Christian Center;La Marque, TX;3000;NONDENOM
Clear Creek Community Church;League City, TX;5000;SBC
Stonegate Fellowship;Midland, TX;4000;UNK
High Point Church;Arlington, TX;6000;NONDENOM
Great Commission Baptist Church;Fort Worth, TX;2000;SBC
Saint Martin's Episcopal Church;Houston, TX;4000;EPIS
Grace Fellowship United Methodist Church;Katy, TX;2442;UMC
The Village Church;Flower Mound, TX;10156;SBC
Braeswood Assembly of God;Houston, TX;2300;AG
Saint John's Downtown United Methodist Church;Houston, TX;2044;UMC
Alief Baptist Church;Houston, TX;2406;SBC
Prestonwood Baptist Church;Plano, TX;15815;SBC
Westover Hills Assembly of God;San Antonio, TX;4314;AG
Park Cities Baptist Church;Dallas, TX;2500;SBC
Vino Nuevo de El Paso;El Paso, TX;4000;EVAN
Lake Pointe Church;Rockwall, TX;11225;SBC
Christ Chapel Bible Church;Fort Worth, TX;4500;NONDENOM
Grace Bible Church;College Station, TX;2500;NONDENOM
Greater Cornerstone Baptist Church;Dallas, TX;4250;SBC
Iglesia Cristiana Misericordia;Laredo, TX;2400;AG
Overcoming Faith Christian Center;Arlington, TX;2000;UNK
Grace Christian Center;Killeen, TX;2000;NONDENOM
Church at Sugar Creek;Sugar Land, TX;4500;SBC
First Baptist Church Amarillo;Amarillo, TX;2050;SBC
Mobberly Baptist Church;Longview, TX;2118;SBC
Calvary Houston;Friendswood, TX;2000;NONDENOM
First Baptist Church;Pasadena, TX;3250;SBC
Austin Ridge Bible Church;Austin, TX;2600;UNK
Riverbend Church;Austin, TX;4000;NONDENOM
Houston's First Baptist Church;Houston, TX;6458;SBC
Antioch Community Church;Waco, TX;2500;NONDENOM
Concordia Lutheran Church;San Antonio, TX;3000;LUTH
Bent Tree Bible Fellowship;Carrollton, TX;4500;NONDENOM
Mount Sinai Missionary Baptist Church;Austin, TX;2200;BAPT
Silverlake Church;Pearland, TX;2675;SBC
First Evangelical Free Church;Austin, TX;2500;EF
Bannockburn Baptist Church;Austin, TX;2000;BAPT
Hope Fellowship;Frisco, TX;3100;AG
Sagemont Church;Houston, TX;3984;SBC
Alamo City Christian Fellowship;San Antonio, TX;2125;SBC
Glenview Baptist Church;Fort Worth, TX;2300;SBC
Crossroads Christian Church;Grand Prairie, TX;4167;CHRISTIAN
Real Life;Corpus Christi, TX;2600;SBC
Grace Community Church;Houston, TX;5000;UNK
Mount Olive Baptist Church;Arlington, TX;3500;BAPT
Mundo De Fe;Carrollton, TX;2000;UNK
Bethel's Family;Houston, TX;2700;SBC
Concord Church;Dallas, TX;3650;BAPT
Pantego Bible Church;Fort Worth, TX;2500;NONDENOM
Celebration Church;Georgetown, TX;5000;NONDENOM
Bethany Lutheran Church;Austin, TX;2200;LUTH
Oakwood Baptist Church;New Braunfels, TX;2447;SBC
Christian House of Prayer;Copperas Cove, TX;2500;NONDENOM
Fellowship Church;Grapevine, TX;24162;SBC
Faith Family Church;Victoria, TX;3000;UNK
International Christian Center;Brownsville, TX;2000;UNK
Great Hills Baptist Church;Austin, TX;2200;SBC
Grace Community Church;Tyler, TX;2450;UNK
The Church on Rush Creek;Arlington, TX;3300;SBC
Lake Hills Church;Austin, TX;3204;SBC
One Community Church;Plano, TX;3000;NONDENOM
Mount Corinth Baptist Church;Houston, TX;2000;UNK
Chase Oaks Church;Plano, TX;5000;NONDENOM
Cielo Vista Church;El Paso, TX;2000;NONDENOM
Saturn Road Church of Christ;Garland, TX;1800;COC
Cottonwood Creek Baptist Church;Allen, TX;2100;SBC
Experience Life;Lubbock, TX;3751;NONDENOM
NorthWood Church;Keller, TX;2106;SBC
Saintsville Sanctuary Church of God In Christ;Dallas, TX;2000;COGIC
First Baptist Church;Midland, TX;2000;SBC
Ministerios Bethania USA;Carrollton, TX;2500;UNK
Gospel Tabernacle Church;Dallas, TX;3500;NONDENOM
Ark Family Church;Conroe, TX;4200;NONDENOM
The Fountain of Praise;Houston, TX;9000;SBC
Harvest Church;Fort Worth, TX;1800;BAPT
Loving Word Fellowship;Houston, TX;2500;BGC
First Baptist Church;Wichita Falls, TX;2000;SBC
The Church at Bethel's Family;Houston, TX;2000;UNK
New Birth Baptist Church;Dallas, TX;3000;UNK
McKinney Memorial Bible Church;Fort Worth, TX;2000;NONDENOM
Gateway Community Church;Austin, TX;4500;UNK
Higher Dimension Church;Houston, TX;3700;SBC
Hill Country Bible Church NW;Austin, TX;4600;UNK
The Potter's House;Dallas, TX;16140;NONDENOM
River Pointe Church;Richmond, TX;3500;UNK
First Baptist Church of Hamilton Park;Richardson, TX;3000;BAPT
Abundant Living Faith Center;El Paso, TX;12400;NONDENOM
Hyde Park Baptist Church;Austin, TX;2067;SBC
Bay Area Fellowship;Corpus Christi, TX;6957;SBC
Cathedral of Hope;Dallas, TX;1800;UCC
The Community of Faith;Houston, TX;6000;UNK
Lilly Grove Missionary Baptist Church;Houston, TX;1900;BAPT
Alamo Heights United Methodist Church;San Antonio, TX;1800;UMC
Westside Baptist Church;Lewisville, TX;2001;BAPT
Christ United Methodist Church;Plano, TX;1977;UMC
Palm Valley Church;Mission, TX;3700;NONDENOM
Valley Creek Church;Flower Mound, TX;3500;NONDENOM
Saint Michael and All Angels Episcopal;Dallas, TX;5000;EPIS
Iglesia Puerta Del Cielo;El Paso, TX;2500;UNK
